date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/11/2021,ARKX,TRIMBLE INC,TRMB,896239100,"601,993","$49,321,286.49",9.19%
10/11/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"1,166,088","$41,407,784.88",7.71%
10/11/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,512,089","$33,613,738.47",6.26%
10/11/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"137,816","$32,134,556.72",5.98%
10/11/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"85,069","$30,093,158.75",5.60%
10/11/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,"208,565","$28,410,724.30",5.29%
10/11/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"683,654","$25,261,015.30",4.70%
10/11/2021,ARKX,KOMATSU LTD,6301,6496584,"1,018,588","$23,999,881.23",4.47%
10/11/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"5,368,313","$21,206,770.82",3.95%
10/11/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"359,389","$18,465,406.82",3.44%
10/11/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,"208,603","$18,104,654.37",3.37%
10/11/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,633,297","$16,871,958.01",3.14%
10/11/2021,ARKX,NETFLIX INC,NFLX,64110L106,"25,146","$15,908,868.36",2.96%
10/11/2021,ARKX,AMAZON.COM INC,AMZN,023135106,"4,644","$15,272,351.28",2.84%
10/11/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"297,737","$15,138,527.15",2.82%
10/11/2021,ARKX,THALES SA,HO,4162791,"140,743","$13,781,312.74",2.57%
10/11/2021,ARKX,DEERE & CO,DE,244199105,"32,502","$11,153,711.34",2.08%
10/11/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"223,045","$10,563,411.20",1.97%
10/11/2021,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,091,127","$9,951,078.24",1.85%
10/11/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"3,367","$9,431,371.04",1.76%
10/11/2021,ARKX,TERADYNE INC,TER,880770102,"79,875","$8,751,105.00",1.63%
10/11/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"58,488","$8,446,836.96",1.57%
10/11/2021,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"953,190","$7,625,520.00",1.42%
10/11/2021,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"1,175,711","$7,465,764.85",1.39%
10/11/2021,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"280,775","$6,598,212.50",1.23%
10/11/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,"42,125","$6,548,752.50",1.22%
10/11/2021,ARKX,VELO3D INC,VLD,92259N104,"774,748","$6,197,984.00",1.15%
10/11/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"28,483","$6,200,749.10",1.15%
10/11/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"5,787,712","$5,787,711.76",1.08%
10/11/2021,ARKX,HEICO CORP,HEI,422806109,"42,038","$5,665,881.64",1.06%
10/11/2021,ARKX,ANSYS INC,ANSS,03662Q105,"16,382","$5,662,765.94",1.05%
10/11/2021,ARKX,AIRBUS SE,AIR,4012250,"43,098","$5,646,392.07",1.05%
10/11/2021,ARKX,SYNOPSYS INC,SNPS,871607107,"17,246","$5,029,968.36",0.94%
10/11/2021,ARKX,BOEING CO/THE,BA,097023105,"21,486","$4,864,215.54",0.91%
10/11/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"11,210","$4,737,682.30",0.88%
10/11/2021,ARKX,NVIDIA CORP,NVDA,67066G104,"7,747","$1,613,777.57",0.30%
